datetime,portfolio_value,cash,positions,return
2015-01-02 08:30:00-05:00,100000.0,100000.0,[],
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-02-02 09:30:00-05:00,99986.73142723752,99567.39852774239,"[{'asset': SPY, 'quantity': 2.096140430383503}]",-0.000132685727624815
2015-03-05 09:30:00-05:00,100031.8874620695,99132.0983442586,"[{'asset': SPY, 'quantity': 4.27209732537623}]",0.00045162027188405673
2015-04-05 10:30:00-04:00,100000.3625907484,98703.93381332562,"[{'asset': SPY, 'quantity': 6.304974264219294}]",-0.00031514822044176327
2015-05-06 10:30:00-04:00,100025.20420474242,98703.93381332562,"[{'asset': SPY, 'quantity': 6.304974264219294}]",0.0002484152392094874
2015-06-06 10:30:00-04:00,100028.50164815984,98253.37518950197,"[{'asset': SPY, 'quantity': 8.454996353705532}]",3.2966125324440654e-05
2015-07-07 10:30:00-04:00,100003.22129163059,98253.37518950197,"[{'asset': SPY, 'quantity': 8.454996353705532}]",-0.0002527315326403823
2015-08-07 10:30:00-04:00,100015.99342225849,97800.4488226061,"[{'asset': SPY, 'quantity': 10.643469257661646}]",0.0001277171921356679
2015-09-07 10:30:00-04:00,99818.92005358597,97336.51597704159,"[{'asset': SPY, 'quantity': 12.872201182155527}]",-0.001970418549366304
2015-10-08 10:30:00-04:00,99897.44036294859,97336.51597704159,"[{'asset': SPY, 'quantity': 12.872201182155527}]",0.0007866275183148197
2015-11-08 09:30:00-05:00,100062.52959043974,96853.46674895109,"[{'asset': SPY, 'quantity': 15.300194323649094}]",0.0016525871623069843
2015-12-09 09:30:00-05:00,100008.21385389828,96853.46674895109,"[{'asset': SPY, 'quantity': 15.300194323649094}]",-0.0005428179435775782
2016-01-11 15:59:00-05:00,99775.48786273743,96367.41386926606,"[{'asset': SPY, 'quantity': 17.657500080135303}]",-0.0023270687695796655
2016-01-11 16:00:00-05:00,99775.48786273743,96367.41386926606,"[{'asset': SPY, 'quantity': 17.657500080135303}]",0.0
